f,vi,vo
1,"0,20","0,20"
2,"0,32","0,32"
3,"0,48","0,40"
4,"0,56","0,48"
5,"0,64","0,52"
6,"0,72","0,56"
7,"0,76","0,60"
8,"0,80","0,64"
9,"0,84","0,68"
10,"0,88","0,68"
11,"0,92","0,72"
12,"0,92","0,72"
13,"0,96","0,72"
14,"0,96","0,72"
15,"0,96","0,76"
16,"1,00","0,76"
17,"1,00","0,76"
18,"1,00","0,76"
19,"1,00","0,76"
20,"1,00","0,76"
21,"1,00","0,76"
22,"1,04","0,76"
23,"1,04","0,76"
24,"1,04","0,76"
25,"1,04","0,76"
26,"1,04","0,76"
27,"1,04","0,76"
28,"1,04","0,76"
29,"1,04","0,76"
30,"1,04","0,76"
31,"1,04","0,76"
32,"1,04","0,72"
33,"1,04","0,72"
34,"1,04","0,72"
35,"1,04","0,72"
36,"1,04","0,72"
37,"1,04","0,72"
38,"1,04","0,72"
39,"1,04","0,72"
40,"1,04","0,68"
41,"1,04","0,68"
42,"1,04","0,68"
43,"1,04","0,68"
44,"1,04","0,68"
45,"1,04","0,64"
46,"1,04","0,64"
47,"1,04","0,64"
48,"1,04","0,60"
49,"1,04","0,60"
50,"1,04","0,56"
51,"1,04","0,56"
52,"1,04","0,56"
53,"1,04","0,52"
54,"1,04","0,48"
55,"1,04","0,48"
56,"1,04","0,44"
57,"1,04","0,40"
58,"1,04","0,36"
59,"1,04","0,36"
60,"1,00","0,32"
61,"1,00","0,28"
62,"1,00","0,24"
63,"1,00","0,20"
64,"1,00","0,20"
65,"1,00","0,24"
66,"1,00","0,28"
67,"1,00","0,32"
68,"1,00","0,36"
69,"0,96","0,44"
70,"0,96","0,48"
71,"0,96","0,52"
72,"0,96","0,56"
73,"0,96","0,60"
74,"0,96","0,64"
75,"0,96","0,68"
76,"0,96","0,72"
77,"0,96","0,76"
78,"0,96","0,76"
79,"0,96","0,80"
80,"0,96","0,80"
81,"0,96","0,84"
82,"0,96","0,88"
83,"1,00","0,88"
84,"1,00","0,92"
85,"1,00","0,92"
86,"1,00","0,92"
87,"1,00","0,96"
88,"1,00","0,96"
89,"1,00","0,96"
90,"1,00","1,00"
91,"1,00","1,00"
92,"1,00","1,00"
93,"1,00","1,00"
94,"1,00","1,04"
95,"1,00","1,04"
96,"1,00","1,04"
97,"1,00","1,04"
98,"1,00","1,04"
99,"1,00","1,04"
100,"1,00","1,04"